REGIONDESC,TIMEDESC,PRODHIERARCHY3,PRODHIERARCHY4,PRODHIERARCHY5,PRODHIERARCHY6,VOLUME,REVENUE_PESOS,ACTUALPRICE,DISTRIBUTION_NUMERIC,WEIGHTEDDISTRIBUTION,MAX_TEMP,MIN_TEMP,AVG_TEMP,PRECIPITATION,CATEGORY_SALES,CATEGORY_SALES_REGIONAL,BARILLITO_MC_PRICE,TECATE_MC_PRICE,HEINEKEN_MC_PRICE,INDIO_MC_PRICE,BOHEMIA_MC_PRICE,New_Years_Day,Christmas_Day,Day_of_Dead,Easter_Day,Fathers_Day,Independence_Day,Trend,seasonality_index,Year,GEODESC,CHANNELDESC,PRODDESC,GEODESC1,GEOGDESC
TOTAL AUTOS AREA 4,2019-12-08,BOTELLA,NO RETORNABLE,12,251-400,1.412,55.39100000000001,39.22875354,15,21,93.2,31.3,64.3, -   ,6347.913000000001,850.03,-0.014479043999999996,-0.005634138,-0.11018840699999999,0.007714233000000002,-0.033937485,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 1,2018-04-08,BOTELLA,NO RETORNABLE,6,251-400,0.779,30.654,39.35044929,15,27,100.4,39.2,72.89, -   ,6059.311,725.596,0.002693397,-0.011045236000000002,0.059956995,-0.0038098290000000003,-0.008940387,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 1,2019-02-24,LATA,NO RETORNABLE,6,251-400,0.026000000000000002,0.873,33.57692308,0,1,91.4,39.2,66.1, 0.24 ,5554.344,515.535,-0.024189102,0.060282215,0.023123024,0.036167067000000004,0.026912666000000002,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 5,2019-09-08,LATA,NO RETORNABLE,12,251-400,20.107,640.428,31.85099717,80,91,79.6,48.2,63.94, 3.45 ,6051.834,1000.3530000000001,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 6,2019-02-10,LATA,NO RETORNABLE,6,251-400,0.72,19.211,26.68194444,5,3,102.8,48.2,76.51, 6.80 ,5806.5059999999985,1337.362,-0.019358122,0.066191819,0.025699537999999997,0.03997353,0.024223665,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 1,2018-08-19,BOTELLA,RETORNABLE,1,1001 O MAS,5.002,141.531,28.29488205,43,50,107.6,62.6,85.45, 5.18 ,5926.432,652.428,-0.005815128,0.004517655,-0.027442979,0.010798281000000002,-0.01745385,0,0,0,0,0,0,1.0431159909999999,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 2,2019-09-08,BOTELLA,RETORNABLE,1,0-250,0.02,0.8370000000000001,41.85,1,2,103.6,48.5,77.15, 11.80 ,6051.834,1595.0120000000006,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2019-09-01,LATA,NO RETORNABLE,1,401-500,3.997,167.99200000000005,42.02952214,78,86,79.6,42.8,64.11, 2.93 ,6227.7109999999975,984.12,0.023653802,-0.024621326000000002,-0.048799870999999995,0.055962715999999996,0.053008322000000004,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 1,2019-11-17,LATA,NO RETORNABLE,6,251-400,0.126,3.13,24.84126984,0,1,95.0,48.4,72.54, 5.52 ,6461.15,630.419,0.040713199,-0.013624957,-0.035379216,0.009720376999999999,0.0039828979999999995,0,0,0,0,0,0,1.083537232,-0.019863996999999998,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 6,2018-11-18,BOTELLA,RETORNABLE,12,0-250,1.8769999999999998,78.817,41.99094299,38,56,95.1,50.0,78.26, 2.64 ,6069.696999999999,1391.015,0.0152649,0.004616876,-0.060711153,0.002513188,0.01371072,0,0,0,0,0,0,1.0512002390000001,-0.019863996999999998,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
