,REGIONDESC,TIMEDESC,PRODHIERARCHY3,PRODHIERARCHY4,PRODHIERARCHY5,PRODHIERARCHY6,VOLUME,REVENUE_PESOS,ACTUALPRICE,DISTRIBUTION_NUMERIC,WEIGHTEDDISTRIBUTION,MAX_TEMP,MIN_TEMP,AVG_TEMP,PRECIPITATION,CATEGORY_SALES,CATEGORY_SALES_REGIONAL,BARILLITO_MC_PRICE,TECATE_MC_PRICE,HEINEKEN_MC_PRICE,INDIO_MC_PRICE,BOHEMIA_MC_PRICE,New_Years_Day,Christmas_Day,Day_of_Dead,Easter_Day,Fathers_Day,Independence_Day,Trend,seasonality_index,Year,GEODESC,CHANNELDESC,PRODDESC,GEODESC1,GEOGDESC
1585,TOTAL AUTOS AREA 4,06/17/18,BOTELLA,RETORNABLE,1,0-250,0.0,0.009,0.0,0,0,91.8,49.7,70.11, 51.50 ,8509.985999999999,1089.028,-0.012665043,-0.069635149,-0.051802314,-0.052409355,-0.036338233,0,0,0,0,1,0,1.037726492,0.033881833,2018,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
1586,TOTAL AUTOS AREA 2,02/18/18,BOTELLA,RETORNABLE,1,1001 O MAS,10.384,282.498,27.20512327,76,81,94.6,26.9,67.11, 2.47 ,5351.353,1443.671,0.006824425,0.003061394,0.0559599759999999,-0.020427063,0.004249893,0,0,0,0,0,0,1.026947494,-0.047299884,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1587,TOTAL AUTOS AREA 6,08/19/18,BOTELLA,RETORNABLE,1,1001 O MAS,9.172,255.656,27.87352813,67,71,97.2,55.4,81.59, 16.57 ,5926.432,1323.476,-0.005815128,0.004517655,-0.027442979,0.010798281,-0.01745385,0,0,0,0,0,0,1.043115991,0.008025792,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
1588,TOTAL AUTOS AREA 6,12/09/18,LATA,NO RETORNABLE,4,401-500,14.024,422.265,30.11016828,72,80,92.9,41.0,74.06, 5.19 ,7047.946999999999,1349.271,-0.077687805,0.003868857,-0.056036135,0.0238939889999999,0.012233829,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
1589,TOTAL AUTOS AREA 5,03/11/18,LATA,NO RETORNABLE,6,251-400,12.593,424.784,33.73175574,83,86,85.0,35.6,63.68, 2.59 ,5435.706,923.688,0.0123508489999999,0.026203955,0.06692419,0.002334129,0.0038847359999999,0,0,0,0,0,0,1.0296422440000002,0.033368106,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1590,TOTAL AUTOS AREA 2,12/30/18,LATA,NO RETORNABLE,12,251-400,22.639,704.2739999999999,31.1088829,43,51,88.2,18.7,54.75, 0.85 ,12713.418,3462.4240000000004,-0.074214285,-0.029883395,-0.039665692,0.0354334029999999,0.016322349,1,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1591,TOTAL AUTOS AREA 4,11/04/18,BOTELLA,RETORNABLE,1,0-250,0.006,0.258,43.0,1,0,96.8,41.5,68.25, 3.76 ,6260.547,951.608,0.025568325,0.003029277,-0.054455973,-0.002120612,0.017209658,0,0,1,0,0,0,1.051200239,-0.0198639969999999,2018,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
1592,TOTAL AUTOS AREA 3,10/20/19,LATA,NO RETORNABLE,12,251-400,9.41,272.793,28.98969182,59,73,96.7,50.0,69.8, 12.26 ,5340.611,495.594,0.07292821,0.0067962269999999,-0.007716716,0.055733028,0.03183309,0,0,0,0,0,0,1.080842482,-0.06891731,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1593,TOTAL AUTOS AREA 2,02/25/18,BOTELLA,RETORNABLE,1,1001 O MAS,11.005,301.972,27.43952749,75,80,97.7,24.1,67.91, 1.41 ,4905.978,1401.1760000000006,0.008826518,-0.004997755,0.0624173659999999,-0.02205543,0.004004112,0,0,0,0,0,0,1.026947494,-0.047299884,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1594,TOTAL AUTOS AREA 1,12/01/19,BOTELLA,RETORNABLE,1,1001 O MAS,3.941,109.822,27.86653134,32,41,91.0,42.8,68.51, 0.82 ,6043.717,566.9209999999998,0.032915803,-0.0150873669999999,-0.045792735,0.014931676,-0.027125943,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1595,TOTAL AUTOS AREA 6,12/16/18,LATA,NO RETORNABLE,4,401-500,9.734,306.428,31.48017259,72,79,91.4,39.2,72.41, 5.23 ,7748.099,1602.686,-0.092856155,0.007888293,-0.0692838059999999,0.025592406,0.012522469,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
1596,TOTAL AUTOS AREA 3,12/30/18,BOTELLA,RETORNABLE,1,1001 O MAS,37.613,999.007,26.56015208,92,91,98.1,37.4,62.58, 0.65 ,12713.418,1460.1760000000006,-0.074214285,-0.029883395,-0.039665692,0.0354334029999999,0.016322349,1,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1597,TOTAL AUTOS AREA 5,03/18/18,LATA,NO RETORNABLE,6,251-400,13.468,448.481,33.29974755,83,85,83.2,37.4,64.5, 1.96 ,7072.15,1197.485,-0.00097538,0.004263017,0.0595343309999999,-0.003620995,0.00347194,0,0,0,0,0,0,1.0296422440000002,0.033368106,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1598,TOTAL AUTOS AREA 2,01/06/19,LATA,NO RETORNABLE,12,251-400,12.869000000000002,413.294,32.11547129,41,47,91.4,25.8,61.6, 2.50 ,9080.44,2368.974,-0.0426863929999999,0.030311571,0.016361017,0.0423306659999999,0.0124669,1,0,0,0,0,0,1.056589738,-0.046198099,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1599,TOTAL AUTOS AREA 3,10/27/19,LATA,NO RETORNABLE,12,251-400,10.701,306.436,28.63620222,55,70,95.1,45.2,69.49, 11.05 ,5119.344,507.992,0.070340722,-0.025596993,-0.022461507,0.028251564,0.030755806,0,0,0,0,0,0,1.080842482,-0.06891731,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1600,TOTAL AUTOS AREA 3,08/25/19,LATA,NO RETORNABLE,1,401-500,2.3080000000000003,95.83,41.52079723,62,76,97.8,50.0,72.66, 8.69 ,6200.615,537.84,0.026770891,-0.023022315,-0.047151359,0.0507492779999999,0.052393262,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1601,TOTAL AUTOS AREA 2,03/04/18,BOTELLA,RETORNABLE,1,1001 O MAS,11.89,325.753,27.39722456,77,81,96.8,32.0,67.68, 7.88 ,5996.408,1498.35,0.009743816,0.004486125,0.070379927,-0.021983686,0.003977177,0,0,0,0,0,0,1.0296422440000002,0.033368106,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1602,TOTAL AUTOS AREA 5,07/01/18,BOTELLA,RETORNABLE,1,1001 O MAS,37.956,954.201,25.13966171,94,96,77.8,46.4,63.81, 1.77 ,8454.851999999999,1045.38,-0.01532299,-0.0946220419999999,-0.0858815,-0.059562142,-0.032977978,0,0,0,0,0,0,1.040421241,0.038618211,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1603,TOTAL AUTOS AREA 1,12/08/19,BOTELLA,RETORNABLE,1,1001 O MAS,3.839,105.332,27.43735348,31,42,92.3,41.0,67.66, 0.32 ,6347.913000000001,547.595,-0.0144790439999999,-0.005634138,-0.1101884069999999,0.007714233,-0.033937485,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1604,TOTAL AUTOS AREA 2,01/13/19,LATA,NO RETORNABLE,12,251-400,4.893,165.238,33.77028408,36,43,88.1,27.4,59.13, 3.35 ,4830.403,1132.216,-0.003560949,0.076851634,0.043694615,0.0502519509999999,0.010475236,0,0,0,0,0,0,1.056589738,-0.046198099,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1605,TOTAL AUTOS AREA 3,11/03/19,LATA,NO RETORNABLE,12,251-400,10.288,293.492,28.52760498,59,74,101.2,46.4,69.85, 2.18 ,5796.781,535.805,0.061649708,-0.0151882999999999,0.004274831,0.028835807,0.038389353,0,0,1,0,0,0,1.083537232,-0.0198639969999999,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1606,TOTAL AUTOS AREA 2,09/22/19,LATA,NO RETORNABLE,12,251-400,9.096,279.211,30.69602023,41,47,102.9,49.2,77.76, 3.84 ,5651.767,1564.441,0.065235921,-0.004488152,-0.010205311,0.0575485709999999,0.047724859,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1607,TOTAL AUTOS AREA 1,09/29/19,BOTELLA,NO RETORNABLE,12,251-400,1.2009999999999998,56.197,46.79184013,9,18,99.7,51.8,79.58, 5.91 ,5590.625,620.776,0.065485488,0.017774206,-0.007402028,0.058444034,0.042895964,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1608,TOTAL AUTOS AREA 3,09/01/19,LATA,NO RETORNABLE,1,401-500,2.48,103.097,41.57137097,63,78,98.1,48.2,71.82, 6.95 ,6227.7109999999975,571.36,0.023653802,-0.024621326,-0.0487998709999999,0.0559627159999999,0.053008322,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1609,TOTAL AUTOS AREA 1,05/19/19,LATA,NO RETORNABLE,6,251-400,0.017,0.56,32.94117647,0,1,99.7,46.4,73.53, 0.73 ,7513.475,657.087,0.0021077789999999,0.034351734,-0.0266012139999999,0.070977616,0.0261307979999999,0,0,0,0,0,0,1.067368735,0.059138089,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1610,TOTAL AUTOS AREA 1,12/01/19,BOTELLA,RETORNABLE,12,251-400,1.713,65.41199999999999,38.18563923,18,41,91.0,42.8,68.51, 0.82 ,6043.717,566.9209999999998,0.032915803,-0.0150873669999999,-0.045792735,0.014931676,-0.027125943,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1611,TOTAL AUTOS AREA 2,03/11/18,BOTELLA,RETORNABLE,1,1001 O MAS,11.917,321.062,26.94151213,75,80,100.4,35.6,67.83, 1.22 ,5435.706,1439.818,0.0123508489999999,0.026203955,0.06692419,0.002334129,0.0038847359999999,0,0,0,0,0,0,1.0296422440000002,0.033368106,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1612,TOTAL AUTOS AREA 5,07/08/18,BOTELLA,RETORNABLE,1,1001 O MAS,55.457,1385.866,24.98992012,93,95,76.0,42.8,62.52, 3.83 ,7596.274,1137.814,0.008293967,-0.07455019,-0.107242223,-0.034007582,-0.033675136,0,0,0,0,0,0,1.040421241,0.038618211,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1613,TOTAL AUTOS AREA 1,12/15/19,BOTELLA,RETORNABLE,1,1001 O MAS,4.235,116.483,27.50484061,31,41,96.8,35.6,65.14, -   ,7993.681,673.329,-0.044898757,-0.021667203,-0.117140177,-0.004539039,-0.026688068,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1614,TOTAL AUTOS AREA 5,08/26/18,LATA,NO RETORNABLE,4,401-500,22.994,703.2439999999997,30.58380447,80,67,76.0,48.2,63.51, 2.98 ,5709.565,973.749,-0.005042496,-0.001588592,-0.033933291,0.012186473,-0.01461731,0,0,0,0,0,0,1.043115991,0.008025792,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1615,TOTAL AUTOS AREA 2,09/29/19,LATA,NO RETORNABLE,12,251-400,12.571,374.899,29.82252804,42,49,101.1,49.4,76.34, 16.60 ,5590.625,1658.2620000000006,0.065485488,0.017774206,-0.007402028,0.058444034,0.042895964,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1616,TOTAL AUTOS AREA 3,09/08/19,LATA,NO RETORNABLE,1,401-500,2.2230000000000003,92.847,41.76653171,59,77,100.4,50.0,71.75, 19.23 ,6051.834,558.877,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1617,TOTAL AUTOS AREA 1,09/01/19,BOTELLA,RETORNABLE,12,251-400,1.972,77.85600000000002,39.48073022,18,37,109.4,64.4,84.83, 5.29 ,6227.7109999999975,754.7819999999997,0.023653802,-0.024621326,-0.0487998709999999,0.0559627159999999,0.053008322,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1618,TOTAL AUTOS AREA 1,12/08/19,BOTELLA,RETORNABLE,12,251-400,1.465,55.331,37.76860068,18,40,92.3,41.0,67.66, 0.32 ,6347.913000000001,547.595,-0.0144790439999999,-0.005634138,-0.1101884069999999,0.007714233,-0.033937485,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1619,TOTAL AUTOS AREA 5,07/15/18,BOTELLA,RETORNABLE,1,1001 O MAS,47.275,1200.088,25.38525648,95,96,79.6,42.8,64.58, 1.26 ,7701.701,1125.647,0.00055888,-0.0850979319999999,-0.108339911,-0.040876578,-0.035501832,0,0,0,0,0,0,1.040421241,0.038618211,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1620,TOTAL AUTOS AREA 1,12/22/19,BOTELLA,RETORNABLE,1,1001 O MAS,4.231,116.11,27.44268494,29,39,95.0,39.2,64.53, 4.38 ,8145.14,792.735,-0.038510776,-0.040120892,-0.118604796,-0.011673781,-0.013422934,0,1,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1621,TOTAL AUTOS AREA 4,09/08/19,LATA,NO RETORNABLE,4,401-500,17.488,557.373,31.87174062,88,91,94.0,46.4,71.03, 22.73 ,6051.834,808.133,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
1622,TOTAL AUTOS AREA 5,03/10/19,BOTELLA,RETORNABLE,12,0-250,13.996,492.768,35.20777365,56,67,86.8,37.4,65.48, -   ,5987.102,940.006,-0.007857839,0.051726407,-0.015699971,0.063980236,0.031083137,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1623,TOTAL AUTOS AREA 6,07/28/19,LATA,NO RETORNABLE,6,251-400,2.92,95.257,32.62226027,18,21,99.0,53.6,82.46, 10.46 ,7357.134,1678.054,0.016525328,-0.166884861,-0.137154729,0.060503303,0.035032355,0,0,0,0,0,0,1.072758234,0.038618211,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
1624,TOTAL AUTOS AREA 5,09/02/18,LATA,NO RETORNABLE,4,401-500,19.027,611.9159999999998,32.16040364,81,79,77.8,46.4,64.54, 2.58 ,6157.774,990.621,-0.013627566,0.0031590529999999,-0.028810445,0.003160069,-0.011527295,0,0,0,0,0,0,1.04581074,-0.021619771,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1625,TOTAL AUTOS AREA 2,10/06/19,LATA,NO RETORNABLE,12,251-400,9.329,294.933,31.61464251,42,49,101.8,42.8,73.84, 3.52 ,5308.6280000000015,1537.661,0.078381253,0.013497766,-0.003841365,0.055210033,0.039438861,0,0,0,0,0,0,1.080842482,-0.06891731,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1626,TOTAL AUTOS AREA 2,04/22/18,BOTELLA,RETORNABLE,1,251-400,0.0409999999999999,1.401,34.17073171,2,3,100.8,46.4,72.98, 12.56 ,5903.285,1495.582,0.036030257,0.00120821,0.0622473979999999,-0.007084988,-0.026264904,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1627,TOTAL AUTOS AREA 3,09/15/19,LATA,NO RETORNABLE,1,401-500,3.165,131.80700000000002,41.64518167,62,72,98.1,48.2,71.63, 34.99 ,8666.655,908.63,0.0551100729999999,-0.006962853,-0.006865063,0.056306497,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1628,TOTAL AUTOS AREA 1,09/08/19,BOTELLA,RETORNABLE,12,251-400,1.602,64.83,40.46816479,18,36,105.8,60.8,83.12, 7.63 ,6051.834,690.5160000000003,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1629,TOTAL AUTOS AREA 1,12/15/19,BOTELLA,RETORNABLE,12,251-400,1.934,72.514,37.49431231,20,40,96.8,35.6,65.14, -   ,7993.681,673.329,-0.044898757,-0.021667203,-0.117140177,-0.004539039,-0.026688068,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1630,TOTAL AUTOS AREA 4,08/25/19,BOTELLA,RETORNABLE,1,1001 O MAS,36.402,1005.049,27.60971925,91,81,95.2,13.8,71.41, 10.40 ,6200.615,813.465,0.026770891,-0.023022315,-0.047151359,0.0507492779999999,0.052393262,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
1631,TOTAL AUTOS AREA 4,09/15/19,LATA,NO RETORNABLE,4,401-500,28.744,883.285,30.72936961,90,94,93.5,46.6,71.18, 21.37 ,8666.655,1313.701,0.0551100729999999,-0.006962853,-0.006865063,0.056306497,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
1632,TOTAL AUTOS AREA 5,03/17/19,BOTELLA,RETORNABLE,12,0-250,14.868,516.712,34.75329567,58,72,77.8,33.8,60.38, -   ,7380.420999999998,1402.466,-0.005673531,0.04805929,-0.00402644,0.061548896,0.028177415,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1633,TOTAL AUTOS AREA 6,08/04/19,LATA,NO RETORNABLE,6,251-400,2.5580000000000003,86.10700000000001,33.66184519,19,20,99.0,59.0,83.55, 21.98 ,7425.016,1709.287,0.022618459,-0.019119785,-0.037260692,0.062889504,0.043506811,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
1634,TOTAL AUTOS AREA 5,09/09/18,LATA,NO RETORNABLE,4,401-500,18.296,587.158,32.09215129,81,65,77.8,48.2,64.02, 2.48 ,6533.767,1238.1660000000004,-0.003840408,-0.019299864,-0.071335557,-0.002807639,0.024898891,0,0,0,0,0,0,1.04581074,-0.021619771,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
1635,TOTAL AUTOS AREA 2,10/13/19,LATA,NO RETORNABLE,12,251-400,8.503,266.509,31.34293779,41,47,99.3,44.0,72.84, 6.58 ,5712.181,1385.8429999999994,0.081783218,0.003656173,-0.008991232,0.0520316279999999,0.033328774,0,0,0,0,0,0,1.080842482,-0.06891731,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1636,TOTAL AUTOS AREA 2,10/21/18,BOTELLA,RETORNABLE,1,251-400,0.032,1.096,34.25,2,3,92.0,42.8,65.86, 13.61 ,5034.818,1181.896,0.027088026,0.002263591,-0.0373628229999999,-0.0115562369999999,0.0215309339999999,0,0,0,0,0,0,1.048505489,-0.06891731,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
1637,TOTAL AUTOS AREA 3,09/22/19,LATA,NO RETORNABLE,1,401-500,2.229,92.693,41.5850157,61,67,96.7,50.0,72.68, 8.93 ,5651.767,658.137,0.065235921,-0.004488152,-0.010205311,0.0575485709999999,0.047724859,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
1638,TOTAL AUTOS AREA 1,09/15/19,BOTELLA,RETORNABLE,12,251-400,2.326,92.837,39.91272571,20,39,104.0,57.2,83.45, 9.06 ,8666.655,784.318,0.0551100729999999,-0.006962853,-0.006865063,0.056306497,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1639,TOTAL AUTOS AREA 1,12/22/19,BOTELLA,RETORNABLE,12,251-400,2.479,91.486,36.90439693,20,42,95.0,39.2,64.53, 4.38 ,8145.14,792.735,-0.038510776,-0.040120892,-0.118604796,-0.011673781,-0.013422934,0,1,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
1640,TOTAL AUTOS AREA 4,09/22/19,LATA,NO RETORNABLE,4,401-500,17.965999999999994,563.556,31.36791718,89,92,94.1,45.9,72.14, 15.76 ,5651.767,651.571,0.065235921,-0.004488152,-0.010205311,0.0575485709999999,0.047724859,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
